h,l,o,c,v,t
525.0,514.6,525.0,523.29,250,2021-01-04 07:00:00+00:00
524.3,522.94,523.29,524.05,179,2021-01-04 07:30:00+00:00
526.0,524.3,524.3,525.75,144,2021-01-04 08:00:00+00:00
526.0,524.43,525.75,525.2,182,2021-01-04 08:30:00+00:00
525.0,522.8,524.63,524.01,201,2021-01-04 09:00:00+00:00
526.47,524.01,524.98,524.99,474,2021-01-04 09:30:00+00:00
525.95,524.99,524.99,525.5,316,2021-01-04 10:00:00+00:00
525.99,525.5,525.99,525.6,29,2021-01-04 10:30:00+00:00
525.93,524.43,525.9,525.77,87,2021-01-04 11:00:00+00:00
525.61,524.32,525.61,524.32,137,2021-01-04 11:30:00+00:00
525.3,523.16,524.48,525.23,172,2021-01-04 12:00:00+00:00
525.8,524.86,525.6,525.33,2130,2021-01-04 12:30:00+00:00
525.62,525.01,525.24,525.51,2903,2021-01-04 13:00:00+00:00
526.0,525.32,525.57,525.55,4337,2021-01-04 13:30:00+00:00
525.65,523.0,525.55,523.71,6738,2021-01-04 14:00:00+00:00
538.0,518.5,523.78,536.16,602456,2021-01-04 14:30:00+00:00
544.45,535.72,536.14,544.45,402833,2021-01-04 15:00:00+00:00
546.04,538.03,544.44,538.14,293822,2021-01-04 15:30:00+00:00
539.7,533.18,538.11,533.58,248881,2021-01-04 16:00:00+00:00
535.01,528.91,533.5,529.14,152812,2021-01-04 16:30:00+00:00
530.3,523.15,529.12,524.61,192748,2021-01-04 17:00:00+00:00
527.25,521.49,524.47,525.62,151734,2021-01-04 17:30:00+00:00
525.95,523.12,525.52,524.45,112405,2021-01-04 18:00:00+00:00
526.93,522.09,524.31,526.59,105613,2021-01-04 18:30:00+00:00
527.45,524.11,526.6,525.39,58041,2021-01-04 19:00:00+00:00
527.06,523.37,525.25,526.27,74942,2021-01-04 19:30:00+00:00
527.73,525.11,526.35,526.32,75524,2021-01-04 20:00:00+00:00
526.44,523.65,526.32,524.54,312461,2021-01-04 20:30:00+00:00
525.29,524.0,524.54,524.24,794748,2021-01-04 21:00:00+00:00
524.7,524.21,524.45,524.21,547,2021-01-04 21:30:00+00:00
524.49,524.01,524.49,524.01,167,2021-01-04 22:00:00+00:00
524.28,524.01,524.05,524.1,65,2021-01-04 22:30:00+00:00
524.96,524.1,524.96,524.51,173,2021-01-05 07:00:00+00:00
524.3,523.52,524.21,523.52,165,2021-01-05 07:30:00+00:00
525.38,523.55,523.55,524.17,86,2021-01-05 08:00:00+00:00
525.05,524.0,524.17,524.11,67,2021-01-05 08:30:00+00:00
526.79,525.0,525.14,525.9,124,2021-01-05 09:00:00+00:00
527.1,525.9,526.0,526.98,275,2021-01-05 09:30:00+00:00
526.98,526.62,526.98,526.9,29,2021-01-05 10:00:00+00:00
527.69,526.6,526.96,526.86,147,2021-01-05 10:30:00+00:00
528.0,526.9,527.6,528.0,228,2021-01-05 11:00:00+00:00
528.0,525.6,528.0,525.6,111,2021-01-05 11:30:00+00:00
526.01,523.71,526.01,523.71,372,2021-01-05 12:00:00+00:00
524.9,523.47,523.71,524.9,911,2021-01-05 12:30:00+00:00
524.93,521.79,524.89,521.79,3341,2021-01-05 13:00:00+00:00
523.08,520.5,521.85,520.5,4490,2021-01-05 13:30:00+00:00
523.97,520.36,520.8,523.97,4103,2021-01-05 14:00:00+00:00
535.85,523.35,523.79,534.22,333395,2021-01-05 14:30:00+00:00
537.74,533.51,534.25,535.6,186560,2021-01-05 15:00:00+00:00
536.18,531.83,535.44,532.7,122849,2021-01-05 15:30:00+00:00
533.53,530.22,532.87,532.48,96234,2021-01-05 16:00:00+00:00
534.63,532.3,532.59,532.49,75366,2021-01-05 16:30:00+00:00
532.63,529.55,532.57,530.05,65510,2021-01-05 17:00:00+00:00
530.62,527.81,530.09,529.78,90060,2021-01-05 17:30:00+00:00
531.88,529.63,529.79,531.4,53579,2021-01-05 18:00:00+00:00
533.82,531.29,531.39,533.62,65355,2021-01-05 18:30:00+00:00
534.54,533.29,533.63,533.85,59757,2021-01-05 19:00:00+00:00
535.43,533.37,533.96,533.98,71109,2021-01-05 19:30:00+00:00
535.37,533.17,533.95,534.0,68329,2021-01-05 20:00:00+00:00
536.95,533.3,533.96,536.46,289882,2021-01-05 20:30:00+00:00
536.94,536.19,536.46,536.55,789018,2021-01-05 21:00:00+00:00
536.9,536.41,536.8,536.88,1162,2021-01-05 21:30:00+00:00
536.98,536.0,536.5,536.89,799,2021-01-05 22:00:00+00:00
536.98,536.2,536.2,536.55,54,2021-01-05 22:30:00+00:00
534.0,529.03,531.37,530.0,1087,2021-01-06 07:00:00+00:00
530.88,529.01,529.3,530.1,57,2021-01-06 07:30:00+00:00
530.67,522.0,530.1,522.78,1742,2021-01-06 08:00:00+00:00
525.8,522.76,522.78,524.38,851,2021-01-06 08:30:00+00:00
530.0,522.1,524.46,524.37,740,2021-01-06 09:00:00+00:00
528.0,524.03,524.03,525.72,447,2021-01-06 09:30:00+00:00
526.95,524.0,526.95,524.0,225,2021-01-06 10:00:00+00:00
525.38,523.5,524.0,524.05,236,2021-01-06 10:30:00+00:00
523.88,522.6,523.8,523.41,404,2021-01-06 11:00:00+00:00
524.67,522.62,523.4,523.58,211,2021-01-06 11:30:00+00:00
528.52,524.11,524.11,527.55,594,2021-01-06 12:00:00+00:00
527.82,525.0,527.35,525.1,4318,2021-01-06 12:30:00+00:00
527.99,525.0,525.68,527.46,9553,2021-01-06 13:00:00+00:00
527.5,525.0,527.2,525.15,5504,2021-01-06 13:30:00+00:00
529.0,525.0,525.02,528.9,9914,2021-01-06 14:00:00+00:00
529.8,519.29,529.0,521.32,576535,2021-01-06 14:30:00+00:00
522.96,518.51,521.3,522.79,347495,2021-01-06 15:00:00+00:00
525.84,522.0,522.82,522.24,208805,2021-01-06 15:30:00+00:00
524.9,521.59,522.38,524.76,129935,2021-01-06 16:00:00+00:00
